step_i,ts_from,ts_to,month_from,month_to,is_boundary,global_drift,adjacency,residual_drift_surface,raw_drift_surface,ratio_resid_raw_surface,residual_drift_mid,raw_drift_mid,ratio_resid_raw_mid,residual_drift_residue,raw_drift_residue,ratio_resid_raw_residue
50,2026-04-17 07:48:05.814455+00:00,2026-04-17 13:20:52.597572+00:00,2026-04,2026-04,False,0.05200222422243549,original,0.0648672840084823,0.08369448323452813,0.7750485038149004,0.0764572753367271,0.10166571975997046,0.7520457782351838,0.0637246364311624,0.06990216952743293,0.9116260176467602
51,2026-04-17 13:20:52.597572+00:00,2026-04-17 19:01:50.025438+00:00,2026-04,2026-04,False,0.0458852295358444,original,0.06804539197039071,0.08183919998624514,0.8314523111397376,0.0708784345613468,0.0854795371654815,0.829185988971043,0.07124059699237645,0.08391129033586443,0.8489989452817124
52,2026-04-17 19:01:50.025438+00:00,2026-04-18 02:26:07.190972+00:00,2026-04,2026-04,False,0.061974463594645965,original,0.07581352759791804,0.10992024746695206,0.6897139457469986,0.06858869138474386,0.08391868694225155,0.8173232194629428,0.07175729309796794,0.08943658402026487,0.8023259596062938
53,2026-04-18 02:26:07.190972+00:00,2026-04-18 07:09:16.776987+00:00,2026-04,2026-04,False,0.05230920300348209,original,0.0658431445063296,0.09217904113295254,0.7142962618949582,0.07120261621193863,0.0789701440479617,0.9016396901681535,0.06239560632418068,0.08230336296169437,0.7581173366296204
54,2026-04-18 07:09:16.776987+00:00,2026-04-18 13:03:39.591993+00:00,2026-04,2026-04,False,0.04907561014926141,original,0.05838314386891742,0.07638350125078382,0.7643423371918071,0.07429867759792923,0.09259513342687693,0.8024036992894821,0.07231496414909036,0.08351817769515876,0.8658589799820571
55,2026-04-18 13:03:39.591993+00:00,2026-04-18 18:55:04.591153+00:00,2026-04,2026-04,False,0.04927085963304459,original,0.06631418215033585,0.08511211946053694,0.7791391234368575,0.07800055491618975,0.09323793646801211,0.8365753026178355,0.07317536548669829,0.08474524408537668,0.8634745970284503
56,2026-04-18 18:55:04.591153+00:00,2026-04-19 02:40:09.301539+00:00,2026-04,2026-04,False,0.050734399926282175,original,0.0718789623324074,0.09385267288531313,0.7658701678133627,0.07092393710337541,0.08242422907757772,0.86047437624951,0.06783038084117549,0.08317217049849944,0.8155417904165343
57,2026-04-19 02:40:09.301539+00:00,2026-04-19 07:20:52.465683+00:00,2026-04,2026-04,False,0.047059461113293545,original,0.0794735211665773,0.10283225046306933,0.7728462696157664,0.07680507700821715,0.0825190137492931,0.9307561193298326,0.06944872635087856,0.07936060951831156,0.8751032378960504
58,2026-04-19 07:20:52.465683+00:00,2026-04-19 13:03:02.246284+00:00,2026-04,2026-04,False,0.04571162747071426,original,0.07402805032677931,0.08540266143638689,0.8668119831595636,0.06833286933628874,0.08704283732677327,0.785048735024064,0.06359768860454217,0.07478490626224563,0.8504080807633343
59,2026-04-19 13:03:02.246284+00:00,2026-04-19 18:53:13.831703+00:00,2026-04,2026-04,False,0.05334601812025287,original,0.06708996528177433,0.07966017388352765,0.8422020943598187,0.06971501615378223,0.08550900139563317,0.8152944721132305,0.08011764701065949,0.10324699521805182,0.7759804228825792
60,2026-04-19 18:53:13.831703+00:00,2026-04-20 02:41:06.366406+00:00,2026-04,2026-04,False,0.05247524390723346,original,0.06461838715908132,0.09228422175939009,0.7002105660874393,0.0737082049235964,0.078532527000733,0.9385691221028507,0.07235513104163112,0.09176557560232133,0.7884779294055972
61,2026-04-20 02:41:06.366406+00:00,2026-04-20 08:10:24.272075+00:00,2026-04,2026-04,False,0.06327689260777374,original,0.07822955474202986,0.1014051416604298,0.7714555047316354,0.0824828890665777,0.1096163533239528,0.752468829379986,0.07366783723847468,0.08979635789521687,0.8203878082052892
62,2026-04-20 08:10:24.272075+00:00,2026-04-20 13:31:20.567807+00:00,2026-04,2026-04,False,0.05449938413944967,original,0.083112639251564,0.10965303408657193,0.7579602328736833,0.09431074346631892,0.10038964858346411,0.9394468931516263,0.07158894302335295,0.08795386524887543,0.8139374298194164
63,2026-04-20 13:31:20.567807+00:00,2026-04-20 19:06:56.024972+00:00,2026-04,2026-04,False,0.04865833377951208,original,0.07208350891408713,0.08144689266730241,0.8850369431346728,0.07828463834168833,0.09779534574647543,0.8004945198990693,0.0736526456845278,0.08749058000960111,0.8418351515836933
64,2026-04-20 19:06:56.024972+00:00,2026-04-21 02:36:03.237826+00:00,2026-04,2026-04,False,0.06768453667236946,original,0.06935962283883274,0.09161217690714447,0.7571004770373888,0.08857926327240541,0.12001619852637233,0.738060898112358,0.07787164336977967,0.09832570911936293,0.7919764227201966
65,2026-04-21 02:36:03.237826+00:00,2026-04-21 07:51:25.919353+00:00,2026-04,2026-04,False,0.04999724153921936,original,0.07469448597205475,0.08875073697321667,0.8416210221960879,0.10517143899038077,0.11137625285028607,0.9442896155947541,0.10642572239404742,0.12322554900324911,0.8636660437296269
66,2026-04-21 07:51:25.919353+00:00,2026-04-21 13:27:52.131957+00:00,2026-04,2026-04,False,0.05994133229396577,original,0.0823324230977994,0.09558719893267527,0.861333149387382,0.08741969562527441,0.10464135137340196,0.8354220819771925,0.09116077192829829,0.11585885353485807,0.7868261177025289
67,2026-04-21 13:27:52.131957+00:00,2026-04-21 19:13:02.558743+00:00,2026-04,2026-04,False,0.04954752155055625,original,0.06686165921487915,0.07536019108624914,0.8872278354278124,0.07868213779005581,0.09646604519794838,0.8156459366464129,0.0712656523588223,0.09011196583673892,0.7908567047348454
